epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.731,1.62614,2.77201,0.91219,0.00074,0.00696,0.00042,0.00011,1.57964,3.87457,0.88391,0.000405983,0.000405983,0.000405983
2,734.031,1.54031,1.36043,0.88487,0.03511,0.35156,0.1642,0.0715,1.50642,2.7398,0.85918,0.000806361,0.000806361,0.000806361
3,1127.16,1.39785,1.17462,0.86396,0.87793,0.22324,0.25658,0.16104,1.19801,1.57734,0.86104,0.00119024,0.00119024,0.00119024
4,1495.07,1.46085,1.1452,0.87325,0.82152,0.26134,0.26644,0.16262,1.23797,1.17733,0.85069,0.00117575,0.00117575,0.00117575
5,1982.04,1.37309,1.06863,0.8551,0.83207,0.27604,0.29444,0.18016,1.1909,0.98085,0.84705,0.001151,0.001151,0.001151
6,2465.74,1.30935,1.00982,0.85551,0.86461,0.28911,0.33405,0.21017,1.15482,0.89869,0.84554,0.00112625,0.00112625,0.00112625
7,2993.94,1.27014,0.93573,0.84256,0.68748,0.38754,0.39123,0.24468,1.09072,0.8461,0.836,0.0011015,0.0011015,0.0011015
8,3507.15,1.20348,0.88351,0.84371,0.67202,0.44164,0.44202,0.28546,1.12345,0.82242,0.8405,0.00107675,0.00107675,0.00107675
9,3937.36,1.21312,0.86297,0.84563,0.74455,0.52254,0.5242,0.32624,1.10896,0.77162,0.84205,0.001052,0.001052,0.001052
10,4532.67,1.22711,0.82229,0.84234,0.85494,0.5465,0.59758,0.38487,1.05291,0.70145,0.83604,0.00102725,0.00102725,0.00102725
11,5203.9,1.24049,0.78903,0.83487,0.87076,0.55452,0.62477,0.39636,1.07825,0.7048,0.83542,0.0010025,0.0010025,0.0010025
12,5991.38,1.1358,0.74891,0.83415,0.79224,0.56683,0.60211,0.38096,1.00604,0.67973,0.83544,0.00097775,0.00097775,0.00097775
13,14659.6,1.17075,0.73842,0.82799,0.78546,0.60861,0.62222,0.39578,1.00886,0.67183,0.82975,0.000953,0.000953,0.000953
14,15125.1,1.1726,0.72123,0.83054,0.87016,0.57807,0.67324,0.40669,1.07798,0.66153,0.83437,0.00092825,0.00092825,0.00092825
15,15766.3,1.15513,0.71145,0.83317,0.87466,0.57012,0.66365,0.39509,1.05682,0.70074,0.83314,0.0009035,0.0009035,0.0009035
16,16478.1,1.13976,0.69489,0.82818,0.88733,0.56134,0.68054,0.4091,1.00081,0.62624,0.83168,0.00087875,0.00087875,0.00087875
17,17171.6,1.08398,0.67244,0.82638,0.86026,0.61394,0.70348,0.43701,0.9944,0.65286,0.83351,0.000854,0.000854,0.000854
18,17756.1,1.11104,0.68034,0.82917,0.90548,0.59709,0.692,0.43719,0.96432,0.59705,0.8261,0.00082925,0.00082925,0.00082925
19,18255.7,1.09088,0.66066,0.82819,0.84451,0.59347,0.69079,0.4452,0.94528,0.60112,0.82403,0.0008045,0.0008045,0.0008045
20,18721,1.11586,0.65712,0.82983,0.88875,0.61897,0.71943,0.44832,1.01219,0.59257,0.83402,0.00077975,0.00077975,0.00077975
21,19177.4,1.08523,0.63977,0.82302,0.88717,0.6017,0.71341,0.44587,0.99715,0.61577,0.83088,0.000755,0.000755,0.000755
22,19630.6,1.04749,0.61954,0.82203,0.8935,0.63276,0.71378,0.4639,0.93527,0.57167,0.82438,0.00073025,0.00073025,0.00073025
23,20074,1.06797,0.61944,0.82006,0.77839,0.66277,0.71662,0.46553,0.95015,0.57028,0.82274,0.0007055,0.0007055,0.0007055
24,20523,1.13008,0.63775,0.82623,0.8236,0.66294,0.71964,0.44555,0.95282,0.58585,0.82367,0.00068075,0.00068075,0.00068075
25,20981,1.06723,0.61516,0.82202,0.73281,0.70877,0.72683,0.47467,0.92934,0.55527,0.82607,0.000656,0.000656,0.000656
26,21478.8,1.03568,0.59816,0.82033,0.73805,0.72326,0.7305,0.47437,0.89971,0.53624,0.81953,0.00063125,0.00063125,0.00063125
27,21985.1,1.03568,0.58978,0.81772,0.76322,0.69102,0.71459,0.45159,0.97328,0.5885,0.83263,0.0006065,0.0006065,0.0006065
28,22498.8,1.02961,0.59067,0.81932,0.74664,0.72975,0.73001,0.46701,0.91045,0.54382,0.82199,0.00058175,0.00058175,0.00058175
29,23007.6,1.02351,0.58418,0.82018,0.7668,0.69163,0.71616,0.45556,0.92367,0.54921,0.82122,0.000557,0.000557,0.000557
30,23529.5,1.01834,0.57385,0.81852,0.84055,0.65549,0.71864,0.45992,0.89615,0.53908,0.81952,0.00053225,0.00053225,0.00053225
31,24070.3,1.01673,0.57615,0.81562,0.75622,0.6887,0.70166,0.46684,0.90815,0.53413,0.81878,0.0005075,0.0005075,0.0005075
32,24644.2,0.99638,0.56189,0.81669,0.81503,0.68604,0.71484,0.46982,0.9197,0.53181,0.81929,0.00048275,0.00048275,0.00048275
33,25214.7,0.99038,0.55498,0.81472,0.82866,0.6977,0.73622,0.49035,0.88647,0.5252,0.81769,0.000458,0.000458,0.000458
34,25759.7,0.99372,0.55572,0.81513,0.86934,0.64716,0.73599,0.47254,0.8662,0.52219,0.81659,0.00043325,0.00043325,0.00043325
35,26313.1,0.98592,0.552,0.81351,0.81466,0.63662,0.69083,0.45394,0.87607,0.52595,0.81384,0.0004085,0.0004085,0.0004085
36,26858.4,1.00015,0.54823,0.8132,0.86436,0.64712,0.71625,0.47498,0.86516,0.51125,0.81506,0.00038375,0.00038375,0.00038375
37,27412.1,0.96411,0.54429,0.80965,0.87473,0.67561,0.74617,0.48633,0.87615,0.50017,0.81578,0.000359,0.000359,0.000359
38,27966.6,0.96914,0.5364,0.80966,0.85407,0.65269,0.72502,0.47943,0.86968,0.5101,0.81497,0.00033425,0.00033425,0.00033425
39,28497.8,0.95452,0.52501,0.80994,0.84904,0.65416,0.71129,0.47723,0.87808,0.51923,0.81697,0.0003095,0.0003095,0.0003095
40,28987.9,0.95293,0.52702,0.8091,0.85967,0.66811,0.73229,0.48969,0.85366,0.49926,0.81419,0.00028475,0.00028475,0.00028475
